filename,ffhq_index,source,license
00001.webp,16191,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00002.webp,44803,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00003.webp,37353,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00004.webp,3739,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00005.webp,52289,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00006.webp,7937,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00007.webp,32444,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00008.webp,4049,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00009.webp,19604,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00010.webp,29115,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00011.webp,36100,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00012.webp,29111,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00013.webp,57524,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00014.webp,21052,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00015.webp,58354,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00016.webp,46509,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00017.webp,45676,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
00018.webp,60506,FFHQ / Flickr (NVlabs/ffhq-dataset),CC-BY / CC-BY-NC / CC0 / Public Domain / US-Gov (see FFHQ metadata by index)
